"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"Globals","0","33","0","1","0.000000","0","0"
"","0","1","0","1","0.000000","3","0"
"/Game/Materials/CustomizeBackground.CustomizeBackground","0","6","6","1","35.830185","0","6"
"/Game/Characters/Input/Maya/lambert2.lambert2","0","9","9","1","47.856869","0","9"
"/Engine/EngineDebugMaterials/BlackUnlitMaterial1.BlackUnlitMaterial1","0","9","9","1","7.150571","0","9"
"/Game/Materials/m_black.m_black","0","6","6","1","4.673435","0","6"
"/Game/Characters/Input/Maya/pasted__blinn4.pasted__blinn4","0","6","6","1","10.052584","0","6"
"/Game/Characters/Input/Maya/openPBR_shader1.openPBR_shader1","0","6","6","1","5.209103","0","6"
"/Game/Characters/Input/Maya/Maya_Blinn1.Maya_Blinn1","0","6","6","1","8.429871","0","6"
"/Game/Characters/Input/Maya/blinn4.blinn4","0","6","6","1","0.000000","0","6"
"/Game/Characters/Input/Maya/M_Hands.M_Hands","0","9","9","1","8.782944","0","9"
"/Game/Materials/whitecube.whitecube","0","6","6","1","9.467611","0","6"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","0","28","32","1","0.000000","0","32"
"/InterchangeAssets/gltf/M_Transmission.M_Transmission","0","36","36","2","0.000000","0","36"
"/InterchangeAssets/gltf/M_Sheen.M_Sheen","0","110","120","6","0.000000","0","120"
"/InterchangeAssets/gltf/M_Default.M_Default","0","118","136","6","0.000000","0","136"
"/InterchangeAssets/gltf/M_ClearCoat.M_ClearCoat","0","118","136","6","0.000000","0","136"
"/Engine/OpenWorldTemplate/LandscapeMaterial/M_ProcGrid.M_ProcGrid","0","3","3","1","2.595372","0","3"
"/Game/Characters/AlienSkins/RenderCams/RT_Rival1_Mat.RT_Rival1_Mat","0","12","12","1","7.249277","0","12"
"/Game/Characters/AlienSkins/RenderCams/M_DistortedCamera1.M_DistortedCamera1","0","12","12","1","0.000000","0","12"
"/Game/Characters/AlienSkins/RenderCams/RT_Rival2_Mat.RT_Rival2_Mat","0","12","12","1","0.000000","0","12"
"/Game/Materials/openPBR_shader1.openPBR_shader1","0","3","3","1","0.000000","0","3"
"/Game/Materials/pasted__pasted__whitecube.pasted__pasted__whitecube","0","3","3","1","0.000000","0","3"
"/InterchangeAssets/gltf/M_Unlit.M_Unlit","0","90","100","6","0.000000","0","100"
"/InterchangeAssets/gltf/M_SpecularGlossiness.M_SpecularGlossiness","0","110","120","6","0.000000","0","120"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","0","28","32","1","0.000000","0","32"
"/MediaFrameworkUtilities/M_BaseMediaBundle.M_BaseMediaBundle","0","5","5","1","0.000000","0","5"
"/MediaFrameworkUtilities/M_DefaultMedia.M_DefaultMedia","0","5","5","1","0.000000","0","5"
"/Game/Maya/ClothesTrim.ClothesTrim","0","3","3","1","1.929126","0","3"
"/Game/Maya/Outfit.Outfit","0","3","3","1","1.982621","0","3"
"/Game/Maya/RivalEyes.RivalEyes","0","3","3","1","2.027869","0","3"
"/Game/Maya/RivalHandles.RivalHandles","0","3","3","1","2.022119","0","3"
"/Game/Maya/RivalLash.RivalLash","0","3","3","1","1.862006","0","3"
"/Game/Maya/RivalSkin.RivalSkin","0","3","3","1","1.901204","0","3"
"/Game/Maya/RivalSkin2.RivalSkin2","0","3","3","1","1.958016","0","3"
"/Game/Maya/SceleraRival.SceleraRival","0","3","3","1","1.975342","0","3"
"/Game/Maya/Ship1.Ship1","0","3","3","1","1.826796","0","3"
"/Game/Maya/Ship3.Ship3","0","3","3","1","1.935994","0","3"
"/Game/Maya/Ship5.Ship5","0","3","3","1","1.987981","0","3"
"/Game/Maya/Ship6.Ship6","0","3","3","1","1.909541","0","3"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","36","42","2","0.000000","0","42"
"/ControlRig/M_Manip.M_Manip","0","8","9","1","0.000000","0","9"
"/Composure/Materials/Media/M_StaticVideoPlateDebug.M_StaticVideoPlateDebug","0","5","5","1","0.000000","0","5"
"/Composure/Materials/ChromaKeying/M_SinglePassDespill.M_SinglePassDespill","0","5","5","1","0.000000","0","5"
"/Composure/Materials/Media/M_VideoPlateDefault.M_VideoPlateDefault","0","5","5","1","0.000000","0","5"
"/Composure/Materials/ChromaKeying/M_SinglePassChromaKeyer.M_SinglePassChromaKeyer","0","5","5","1","0.000000","0","5"
"/Game/Characters/AlienSkins/RenderCams/M_ZoomedCameraMat_Mat.M_ZoomedCameraMat_Mat","0","12","12","1","0.000000","0","12"
"/Game/Characters/AlienSkins/RenderCams/M_CameraViewMaterial.M_CameraViewMaterial","0","12","12","1","0.000000","0","12"
"/HairStrands/Materials/HairDebugMaterial.HairDebugMaterial","0","57","63","1","0.000000","0","63"
"/Game/Materials/M_Speedup.M_Speedup","0","8","8","1","5.662898","0","8"
"/Game/Materials/M_Bounds5.M_Bounds5","0","8","8","1","5.647638","0","8"
"/Game/Materials/M_DomeOn1.M_DomeOn1","0","16","16","1","12.903975","0","16"
"/Game/Materials/M_Bounds3.M_Bounds3","0","8","8","1","5.572834","0","8"
"/AnimationSharing/AnimSharingBase.AnimSharingBase","0","6","6","1","2.000714","0","6"
"/Game/Maya/Ship7.Ship7","0","3","3","1","1.913720","0","3"
"/Game/Maya/ShipRival2.ShipRival2","0","3","3","1","1.984228","0","3"
"/Game/Maya/Teeth2.Teeth2","0","3","3","1","2.450056","0","3"
"/Game/Maya/Ship4.Ship4","0","3","3","1","2.114057","0","3"
"/Game/Maya/RivalMouth.RivalMouth","0","3","3","1","1.869415","0","3"
"/Game/Maya/Teeth.Teeth","0","3","3","1","1.876268","0","3"
"/Game/Materials/M_Moontexture.M_Moontexture","0","3","3","1","1.999655","0","3"
"/Game/Materials/M_Bounds7.M_Bounds7","0","16","16","1","12.842405","0","16"
"/Game/Maya/GlassRival.GlassRival","0","8","8","1","5.617357","0","8"
"/Game/Maya/HelmetGlass.HelmetGlass","0","8","8","1","7.210737","0","8"
"/Game/Maya/F_Wizard.F_Wizard","0","3","3","1","2.639314","0","3"
"/Game/Maya/I_Wizard.I_Wizard","0","3","3","1","0.000000","0","3"
"/Game/Maya/rampShader3.rampShader3","0","3","3","1","1.884451","0","3"
"/Game/Characters/AlienSkins/Defaults/M_SecondaryBody.M_SecondaryBody","0","9","9","1","6.196796","0","9"
"/Game/Characters/AlienSkins/Defaults/M_ShipPrimary.M_ShipPrimary","0","9","9","1","5.804997","0","9"
"/Game/Characters/AlienSkins/Defaults/M_PrimaryBody.M_PrimaryBody","0","9","9","1","6.094628","0","9"
"/Game/Maya/HelmetMetal.HelmetMetal","0","3","3","1","1.963490","0","3"
"/Game/Maya/HelmetTrim.HelmetTrim","0","3","3","1","2.086343","0","3"
"/Game/Characters/AlienSkins/Defaults/M_ShipSecondary.M_ShipSecondary","0","9","9","1","5.785409","0","9"
"/Game/Materials/M_Glow2.M_Glow2","0","3","3","1","1.924217","0","3"
"/Game/Materials/M_Bounds6.M_Bounds6","0","24","24","1","17.620430","0","24"
"/Game/Import/openPBR_shader1.openPBR_shader1","0","3","3","1","0.000000","0","3"
"/Game/Maya/Bowtie2.Bowtie2","0","3","3","1","1.748228","0","3"
"/Game/Characters/AlienSkins/Defaults/M_Eyes.M_Eyes","0","9","9","1","5.925860","0","9"
"/Game/Maya/Staff2.Staff2","0","3","3","1","1.836757","0","3"
"/Game/Maya/StaffBase.StaffBase","0","3","3","1","2.004652","0","3"
"/Engine/EngineMeshes/BackgroundMaterial.BackgroundMaterial","0","3","3","1","1.867929","0","3"
"/Game/Maya/Moustache.Moustache","0","3","3","1","1.853231","0","3"
"/Game/Maya/Cow3.Cow3","0","3","3","1","1.944532","0","3"
"/Game/Maya/Cow2.Cow2","0","3","3","1","1.867169","0","3"
"/Game/Maya/Cow1.Cow1","0","3","3","1","1.947580","0","3"
"/Game/Materials/M_Cloak.M_Cloak","0","3","3","1","1.861490","0","3"
"/Game/Maya/vest1.vest1","0","3","3","1","1.973684","0","3"
"/Game/Maya/vest3.vest3","0","3","3","1","1.932056","0","3"
"/Game/Maya/Vest5.Vest5","0","3","3","1","1.913509","0","3"
